,ep_best_fitness,gen_found_at,time_found_at,avg_waste,avg_cost
0,1681.0,4,76.01561212539673,97.89473684210526,1722.7894736842106
0,1712.5,2,42.81779074668884,237.76470588235293,1750.8529411764705
0,1718.5,0,29.339147806167603,75.5,1745.05
0,1715.5,2,59.193989276885986,257.14285714285717,1760.5
0,1689.5,16,275.36217999458313,152.42105263157896,1731.0263157894738
0,1681.0,8,127.24208450317383,171.42105263157896,1732.3947368421052
0,1729.5,3,94.45525765419006,111.05263157894737,1747.7631578947369
0,1720.5,1,44.942734479904175,151.6,1747.95
0,1737.0,9,269.79393553733826,87.54545454545455,1744.6818181818182
0,1709.0,16,311.1724717617035,155.76470588235293,1755.0
0,1704.0,14,241.50253415107727,119.78947368421052,1738.5526315789473
0,1741.0,5,106.29419612884521,124.18181818181819,1756.6363636363637
0,1739.5,2,99.75704097747803,85.28571428571429,1751.7142857142858
0,1761.0,8,233.47188591957092,132.0,1768.8636363636363
0,1704.5,12,236.5334165096283,116.73684210526316,1742.2894736842106
0,1696.5,3,137.27153158187866,124.27272727272727,1737.0
0,1742.0,4,207.00989627838135,136.75,1765.3125
0,1705.0,1,97.26647686958313,137.42857142857142,1732.142857142857
0,1735.0,1,64.60218834877014,90.38461538461539,1749.8461538461538
0,1740.5,9,336.33666229248047,135.2,1754.55
0,1700.5,10,290.1259799003601,184.30769230769232,1755.3846153846155
0,1744.5,4,176.77166271209717,231.75,1767.25
0,1735.5,2,78.5597915649414,80.2,1747.2
0,1727.5,2,74.39301204681396,186.0909090909091,1749.7272727272727
0,1738.5,2,117.13223028182983,119.28571428571429,1759.142857142857
0,1719.0,7,204.96044898033142,166.3846153846154,1742.5
0,1710.5,3,132.85137391090393,35.7,1735.75
0,1707.0,2,105.88334131240845,190.5,1744.25
0,1728.5,8,280.05792450904846,124.4,1760.95
0,1708.5,3,146.64857530593872,87.6923076923077,1745.5
0,1726.5,1,146.17013788223267,171.14285714285714,1754.0714285714287
0,1716.5,0,62.52484059333801,133.23076923076923,1744.6153846153845
0,1679.0,1,53.12482452392578,122.38461538461539,1732.076923076923
0,1659.0,1,116.97662091255188,116.42857142857143,1711.2857142857142
0,1739.0,2,69.96596598625183,96.1,1750.65
0,1724.5,8,238.60241985321045,112.46153846153847,1752.0384615384614
0,1667.5,1,72.61123061180115,132.69230769230768,1735.0
0,1706.0,2,122.25414299964905,94.9,1746.9
0,1700.5,0,80.14287400245667,67.3,1725.95
0,1687.5,2,96.24073767662048,150.3,1725.95
0,1742.5,6,303.00898027420044,188.85714285714286,1758.357142857143
0,1682.5,17,203.7102792263031,137.8,1727.32
0,1727.5,8,118.1150016784668,150.04166666666666,1761.7708333333333
0,1729.0,5,206.62847352027893,157.0,1753.7857142857142
0,1706.0,4,138.59440279006958,104.0,1721.5
0,1727.5,0,30.443681001663208,86.92,1748.28
0,1707.0,13,185.88425016403198,101.28,1731.36
0,1722.0,3,168.57520151138306,131.125,1743.5625
0,1702.0,22,278.0125448703766,143.64,1752.82
0,1704.5,3,114.56002950668335,92.8,1732.5
0,1703.5,4,80.2417221069336,87.53846153846153,1726.5384615384614
0,1701.0,4,104.01225757598877,169.45454545454547,1739.7272727272727
0,1724.0,5,137.5865135192871,143.54545454545453,1745.1818181818182
0,1702.5,4,114.47261548042297,79.6923076923077,1723.2692307692307
0,1701.0,2,46.2464542388916,225.8,1733.85
0,1715.5,23,288.9930326938629,105.64,1736.76
0,1671.0,10,296.1103720664978,117.0,1731.7307692307693
0,1724.0,8,246.59593558311462,124.9,1745.45
0,1739.5,5,179.57055759429932,187.8,1764.2
0,1744.0,8,237.87836933135986,188.9090909090909,1757.8636363636363
0,1727.5,6,311.15617060661316,74.42857142857143,1742.642857142857
0,1720.0,1,112.67638540267944,81.57142857142857,1738.7857142857142
0,1736.0,5,206.9763514995575,101.75,1743.4375
0,1735.5,8,269.32544898986816,165.1,1755.0
0,1614.0,9,302.1468086242676,223.2,1755.8
0,1724.0,5,166.33106422424316,174.27272727272728,1751.590909090909
0,1719.5,8,204.34141969680786,185.69230769230768,1755.6923076923076
0,1724.0,6,280.79092288017273,113.125,1743.75
0,1687.5,0,58.26329588890076,139.1818181818182,1746.2727272727273
0,1710.0,5,208.39549446105957,133.0,1737.0625
0,1749.5,5,247.69669580459595,174.28571428571428,1766.0
0,1732.0,2,110.5523293018341,188.0,1746.0625
0,1728.0,8,292.00922775268555,101.5,1748.95
0,1727.0,1,60.033628702163696,127.3,1741.2
0,1734.5,1,111.04480862617493,151.14285714285714,1755.9285714285713
0,1730.0,4,220.40865302085876,84.625,1745.5625
0,1702.5,5,168.05336213111877,72.38461538461539,1740.6923076923076
0,1726.0,7,295.97090768814087,120.2,1741.95
0,1697.5,1,94.14640259742737,113.2,1721.5
0,1720.0,7,151.20637011528015,145.375,1753.375
0,1717.5,10,305.29943466186523,138.36363636363637,1735.409090909091
0,1697.5,1,37.51830840110779,151.0909090909091,1733.4545454545455
0,1726.0,6,237.49287128448486,135.4,1745.05
0,1696.0,5,106.39285469055176,139.9375,1739.25
0,1640.5,9,207.2761721611023,116.77777777777777,1729.6944444444443
0,1726.0,5,126.76727843284607,136.3,1744.45
0,1727.0,2,32.5605366230011,160.4375,1747.75
0,1726.5,0,50.688556432724,69.4,1738.85
0,1717.5,6,203.00838541984558,137.9090909090909,1744.090909090909
0,1707.5,1,61.8900260925293,145.1,1734.3
0,1738.5,1,42.80677652359009,119.6875,1759.46875
0,1718.0,13,269.9459660053253,130.8125,1745.84375
0,1715.0,2,51.704095125198364,100.125,1739.84375
0,1732.0,8,151.96654057502747,93.52631578947368,1749.921052631579
0,1723.5,2,65.699227809906,120.7,1750.0
0,1730.0,8,177.43750286102295,100.76923076923077,1751.3846153846155
0,1718.5,4,134.46958804130554,135.0,1741.875
0,1721.5,7,247.900306224823,165.5,1749.85
0,1708.5,13,291.46900248527527,187.4375,1755.84375
0,1688.5,9,264.2722325325012,120.0,1716.8076923076924
0,1662.0,4,185.25450253486633,171.7,1731.8
0,1739.0,8,255.28465294837952,140.6,1763.95
0,1723.5,2,41.59131145477295,128.53846153846155,1746.923076923077
0,1726.5,8,195.05129885673523,170.30769230769232,1756.8461538461538
0,1687.0,9,307.7714192867279,138.5,1719.7
0,1735.5,1,88.64235091209412,89.63636363636364,1745.5454545454545
0,1690.0,2,79.96411037445068,204.4,1729.4
0,1719.0,4,177.2693989276886,188.9,1748.4
0,1696.0,3,162.4760479927063,113.5,1727.45
0,1640.5,2,81.67934274673462,177.8,1733.75
0,1717.0,8,265.8652491569519,70.81818181818181,1738.409090909091
0,1708.0,9,310.1353986263275,117.6,1753.1
0,1707.5,0,60.10631847381592,93.0,1736.5
0,1751.0,6,281.7437069416046,179.6,1764.0
0,1687.5,2,66.60145473480225,124.15384615384616,1737.576923076923
0,1712.0,0,76.92447185516357,127.0,1734.923076923077
0,1713.5,1,85.77202653884888,164.46153846153845,1749.0384615384614
